task,psnrA,psnrB
0,10.692876815795898,12.348135948181152
1,14.873048782348633,10.593029022216797
2,37.94009780883789,36.03000259399414
3,9.920384407043455,10.417366981506348
4,11.583727836608888,12.089034080505373
5,10.377062797546388,13.149614334106444
6,13.150849342346191,12.796387672424316
7,12.112298011779783,9.786054611206056
8,41.21028518676758,38.25990295410156
9,12.917936325073242,8.893113136291504
