task,psnrA,psnrB
0,-4.005534648895264,4.139856815338135
1,-4.005534648895264,4.139856815338135
2,-4.005534648895264,4.139856815338135
3,-4.005534648895264,4.139856815338135
4,-4.005534648895264,4.139856815338135
5,-4.005534648895264,4.139856815338135
0,12.680092811584473,14.01319980621338
1,12.680092811584473,14.01319980621338
2,12.680092811584473,14.01319980621338
3,12.680092811584473,14.01319980621338
4,12.680092811584473,14.01319980621338
5,12.680092811584473,14.01319980621338
6,12.680092811584473,14.01319980621338
7,12.680092811584473,14.01319980621338
8,12.680092811584473,14.01319980621338
9,12.680092811584473,14.01319980621338
0,12.680092811584473,14.01319980621338
1,12.680092811584473,14.01319980621338
2,12.680092811584473,14.01319980621338
3,12.680092811584473,14.01319980621338
4,12.680092811584473,14.01319980621338
5,12.680092811584473,14.01319980621338
6,12.680092811584473,14.01319980621338
7,12.680092811584473,14.01319980621338
8,12.680092811584473,14.01319980621338
9,12.680092811584473,14.01319980621338
