task,psnrA,psnrB
0,8.986557006835938,80.61466979980469
1,8.986557006835938,80.61466979980469
2,8.986557006835938,80.61466979980469
3,8.986557006835938,80.61466979980469
4,8.986557006835938,80.61466979980469
5,8.986557006835938,80.61466979980469
0,8.986557006835938,80.61466979980469
1,8.986557006835938,80.61466979980469
2,8.986557006835938,80.61466979980469
3,8.986557006835938,80.61466979980469
4,8.986557006835938,80.61466979980469
5,8.986557006835938,80.61466979980469
6,8.986557006835938,80.61466979980469
7,8.986557006835938,80.61466979980469
8,8.986557006835938,80.61466979980469
9,8.986557006835938,80.61466979980469
