task,psnrA,psnrB
0,45.91979598999024,49.90109252929688
1,56.06314849853516,42.83554458618164
2,51.17732238769531,48.11643981933594
3,45.15318298339844,45.6485710144043
4,46.21336364746094,52.60952377319336
5,51.25628662109375,51.47982025146485
6,50.11738586425781,50.67140579223633
7,53.092193603515625,50.46192932128906
8,53.45874786376953,51.05157852172852
9,56.74980163574219,50.84596252441406
