task,psnrA,psnrB
0,42.58607864379883,46.574737548828125
1,40.89643096923828,44.64435958862305
2,42.749267578125,46.61899948120117
3,43.3167839050293,47.27458572387695
4,42.75148010253906,46.6154670715332
5,46.5752067565918,50.47647857666016
6,45.1954345703125,49.015228271484375
7,44.657936096191406,48.495792388916016
8,46.58655548095703,50.46180725097656
9,43.95671081542969,47.685821533203125
