task,psnrA,psnrB
0,42.93573760986328,46.84185409545898
1,39.16781997680664,42.89424133300781
2,44.364627838134766,48.13461685180664
3,42.1796989440918,46.05559921264648
4,44.510345458984375,48.47370910644531
5,46.09990692138672,50.0836181640625
6,45.7113037109375,49.6025505065918
7,44.92641830444336,48.75472640991211
8,44.18321990966797,48.09713745117188
9,40.97394561767578,44.69047927856445
